id,nome,email,cpf,telefone,ano_nascimento,mes_nascimento,dia_nascimento,e_instrutor
3826, Robert Shepherd, ashleywu@example.com, 4901716035, 5835298567, 1945, 12, 3, 0
3827, Robert Shepherd, kelly38@example.com, 5791282452, 4882917562, 1998, 8, 3, 0
3828, Robert Shepherd, owood@example.org, 1513584961, 7950412688, 1948, 8, 1, 1
3829, Robert Shepherd, cortezkyle@example.net, 1255662887, 5679072767, 1965, 2, 13, 0
3830, Robert Shepherd, drakekristin@example.org, 7882687622, 4194060500, 1950, 7, 24, 1
3831, Robert Shepherd, andrewchavez@example.org, 8696810934, 1092433812, 1981, 2, 5, 0
3832, Robert Shepherd, gravesashley@example.net, 1054807039, 1315737474, 1954, 12, 1, 1
3833, Robert Shepherd, ghernandez@example.net, 7379672759, 5284212755, 1981, 4, 25, 0
3834, Robert Shepherd, calvinshaw@example.net, 2196062751, 5735591970, 1929, 3, 9, 1
3835, Robert Shepherd, lindacarlson@example.org, 1425952490, 1488299344, 1944, 12, 26, 0
3836, Robert Shepherd, logan93@example.org, 2351362836, 6402749784, 1952, 6, 7, 0
3837, Robert Shepherd, probinson@example.com, 5206558902, 6205880872, 1998, 12, 21, 0
3838, Robert Shepherd, yorkmichelle@example.com, 3794369708, 3134850257, 1955, 9, 10, 0
3839, Robert Shepherd, jeremy24@example.net, 2156287382, 2823103641, 1991, 12, 26, 0
3840, Robert Shepherd, savagejessica@example.com, 5205825910, 1164208014, 1982, 6, 5, 0
3841, Robert Shepherd, operez@example.net, 7589028148, 6142791657, 1938, 4, 22, 1
3842, Robert Shepherd, whitemichael@example.org, 3421498638, 8434620207, 1938, 8, 11, 1
3843, Robert Shepherd, michael34@example.org, 6953691955, 8039090371, 1962, 10, 22, 0
3844, Robert Shepherd, corr@example.net, 1530947743, 2909801758, 2007, 6, 5, 0
3845, Robert Shepherd, jenniferrobinson@example.com, 7725353331, 5757668509, 1987, 12, 16, 1
